time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1722349550.8222697,2600.000,2599.986,2600.000,800.000,2599.993,800.000,2600.000,800.000,2600.000,2599.980,2600.000,800.000,2600.000,800.000,2600.006,800.000,2322.381,2322.487,2322.491,2322.465,2321.851,2321.762,2321.854,2321.873
1722349551.838971,2700.000,2699.981,2700.000,800.000,2700.000,800.000,2700.000,800.000,2699.993,2700.000,2700.000,800.000,2700.000,800.000,2700.000,800.000,2322.754,2322.493,2322.759,2322.742,2322.464,2322.388,2322.400,2321.814
1722349552.8556824,2600.006,2599.986,2600.006,800.000,2599.993,800.000,2600.000,800.000,2600.000,2600.000,2600.000,800.000,2600.000,800.000,2599.993,800.000,2321.745,2321.767,2321.821,2321.825,2321.667,2321.658,2321.735,2321.841
1722349553.8735926,2699.993,2700.011,2700.006,800.000,2699.993,800.000,2700.000,800.000,2700.000,2700.000,2700.006,800.000,2699.993,800.000,2699.993,800.000,2324.808,2324.698,2324.865,2325.027,2324.848,2324.873,2324.809,2324.823
1722349554.8905332,2600.000,2599.958,2599.986,2600.000,2600.000,800.000,2600.006,800.000,2600.006,2600.000,2599.993,800.000,2600.000,800.000,2600.000,800.000,2322.435,2322.279,2322.328,2322.347,2321.721,2321.666,2321.707,2321.703
1722349555.90717,2600.000,2599.979,2600.000,800.000,2599.993,800.000,2600.000,800.000,2600.000,2600.000,2600.006,800.000,2600.000,800.000,2600.006,800.000,2321.575,2321.458,2321.589,2321.559,2321.930,2321.847,2321.940,2321.952
1722349556.923687,2599.993,2599.958,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.000,2600.000,2600.000,800.000,2600.000,800.000,2600.006,800.000,2323.016,2322.929,2323.052,2323.046,2322.350,2322.405,2322.346,2322.363
1722349557.9403677,2600.000,2600.000,2600.000,800.000,2599.993,800.000,2599.993,800.000,2600.000,2600.000,2600.006,800.000,2600.000,800.000,2600.000,800.000,2322.032,2322.031,2322.054,2322.035,2321.451,2321.413,2321.307,2321.537
1722349558.957132,2600.000,2600.059,2600.000,800.000,2600.006,800.000,2600.006,800.000,2600.000,2600.000,2600.006,800.000,2600.000,800.000,2600.000,800.000,2229.904,2229.898,2229.892,2229.934,2225.405,2225.341,2225.323,2225.346
1722349559.973762,2600.000,2599.986,2600.000,2600.000,2600.006,800.000,2599.993,800.000,2600.000,2599.975,2600.000,800.000,2600.000,800.000,2599.993,800.000,2226.432,2226.410,2226.413,2226.411,2225.648,2225.924,2225.632,2225.635
